"Region","total_households","water_tank","water_piped","water_well","toilet_flush","toilet_pit latrine","toilet_vip","toilet_water sealed"
"National",72482.0546920189,26479.7678038288,34504.2956400102,5400.87949322022,15688.9665858318,29285.0644321181,12131.2670661089,7660.241799405
"Torba",2794.95252753011,1298.87194279908,1002.53201843409,239.773134116747,109.360278790092,1643.81007574333,644.847811642779,168.040747050664
"Torres",251.536722793333,247.908789291506,0,0,1.20931116727564,141.48940657125,73.7679812038139,19.3489786764102
"Ureparapara",95.5562924834146,13.357331207359,55.4842988613375,0,4.10994806380278,45.2094287018306,4.10994806380278,38.0170195901757
"Motalava",403.506543031657,88.9939242776587,298.33190524897,14.1581243169003,29.3275432278648,175.965259367189,123.377940475845,53.5986134854081
"West Vanualava",352.861855525167,54.2864393115642,195.222387524279,0,3.13190996028255,134.67212829215,152.419618067084,1.04396998676085
"East Vanualava",399.483016622889,142.972869107139,193.433881733188,1.05127109637602,67.2813501680655,108.28092292673,136.665242528883,43.102114951417
"Mota",121.069311546954,118.358755593743,0,0.931958705462542,0,69.8969029096907,46.5979352731271,0.931958705462542
"East Gaua",736.395575324238,91.6140166090663,116.335259186116,23.2670518372232,2.84602546297423,673.085021993405,44.1133946761005,7.11506365743557
"West Gaua",273.387859087372,381.367412038547,143.724285880199,199.221782408196,1.45419073982645,263.208523908587,4.36257221947935,1.45419073982645
"Merelava",161.15535111509,160.0124053625,0,1.14294575258929,0,32.0024810725,59.433179134643,3.42883725776786
"Sanma",15197.264125121,6962.7261967335,5519.07815293681,938.140579500354,2863.34134756745,5934.23411160344,2326.77553833001,1259.08366367196
"Luganville",4011.10961674314,1259.11884205223,2612.21792632506,89.6169994343225,2164.25053633889,477.210521987767,407.757347426166,869.284894512927
"North West Santo",313.385436919143,7.7150863235129,98.3673506247895,0,0,299.923980826565,10.6082436948302,1.92877158087823
"Big Bay Coast",899.778336226117,326.153783371104,279.197791212617,2.53816173829652,11.4217278223343,645.962162396465,210.667424278611,17.7671321680756
"Big Bay Inland",555.824444268251,58.5684585643309,165.924257939664,0,107.221379542057,426.453237257962,4.94313273548723,0
"West Santo",506.606466711524,4.34441051671733,302.370971963526,0.868882103343466,36.4930483404256,443.998754808512,8.68882103343466,5.2132926200608
"South Santo 1",1320.33984160773,138.925567426828,866.094528462749,8.7610718197099,41.3021957214895,847.3208031348,234.045775755107,43.8053590985494
"South Santo 2",1263.23800890242,597.685775127484,533.744673056938,17.3693513443371,64.2406701041739,553.417035958559,383.975213167822,159.384430416997
"East Santo",1761.34327423859,1287.02878621529,119.272064239779,252.412973158601,0,0,0,0
"South East Santo",2215.88663450749,1658.87303266668,250.115330923664,236.595583306169,328.529867105137,1170.8101436751,323.121968058139,117.62180427221
"West Malo",776.294122501475,581.051474221736,84.1764711146177,77.1617651883996,36.2426472854604,489.8602971809,242.007354454526,9.35294123495753
"East Malo",515.73360885726,323.682181291167,40.9997429635479,142.420159768114,5.39470302151946,17.2630496688623,217.946002069386,8.63152483443113
"Penama",9200.13931705135,4654.92250097921,3018.65449389377,875.567889179252,313.492754882766,6050.91059964324,1423.02373351799,178.388443224916
"West Ambae",606.924608004948,241.187595131663,4.17640857370845,357.082933052073,4.17640857370845,370.656260916625,75.1753543267522,63.6902307490539
"North Ambae",593.436796206294,302.78746561049,10.7788418178492,274.370518999798,82.3111556999391,356.681674699736,123.466733549909,3.91957884285425
"East Ambae",476.457889720776,264.108260524604,21.6946071145211,166.010906615466,66.027065131151,350.886688982688,29.240557415224,6.6027065131151
"South Ambae",236.189949175808,132.960076284284,34.6852372915522,56.1570508529894,0,222.976525445693,9.91006779758635,0.825838983132196
"North Maewo",767.461922591376,153.00664912423,568.310411032855,6.07169242556469,27.9297851575976,527.022902539015,200.365850043635,10.9290463660164
"South Maewo",620.864206151392,94.6549834709586,471.670595601049,1.60432175374506,20.8561827986858,447.605769294873,94.6549834709586,11.2302522762154
"North Pentecost",1683.41539017212,1225.41279829471,213.582172244161,7.15917895790481,23.8639298596826,1089.38839809452,374.663698797018,27.443519338635
"Central Pentecost 1",1095.50324205733,1045.96481668676,26.2585309628474,2.91761455142749,13.1292654814237,761.497397922577,45.2230255471261,2.91761455142749
"Central Pentecost 2",1539.83327247302,1010.4788125066,457.466052653417,2.89535476362922,11.5814190545169,1171.17100188802,217.151607272191,14.4767738181461
"South Pentecost",1580.05204049829,184.361043344911,1210.03163660181,1.29831720665431,63.617543126061,753.023979859497,253.17185529759,36.3528817863205
"Malampa",10353.2774827892,3169.88809444047,4714.81773611595,1844.08482374296,737.171168381528,4546.7986819954,2593.42061274707,1845.40825908774
"North West Malekula",1188.86767401795,139.112663076366,873.376493750116,30.3328363098843,32.4247560553935,725.896151691713,186.180857350324,102.504067529954
"North East Malekula",1539.62290420528,525.364201418683,458.189771084615,488.267874219272,199.51808412656,432.122081701244,135.351464105959,702.825009913161
"Central Malekula",1541.65738237234,288.597976090927,1004.23576182193,97.9742206655544,235.35111703356,444.078804538437,288.597976090926,492.000977690067
"South West Malekula",935.199541294908,320.351630153125,483.887777014511,73.9272992661058,40.323981417876,714.630559572357,114.251280683982,60.4859721268138
"South East Malekula",1153.86214879327,96.0698190799549,900.13243529262,55.3445696873654,33.4155892452017,859.407185900031,108.600665046906,45.9464352121524
"South Malekula",1202.44366657817,689.721865556898,401.226603689513,63.032578223126,67.8812380864434,546.686399589035,77.5785578130782,400.014438723685
"North Ambrym",1007.7042284521,395.695535376404,128.601048997331,473.598093903633,7.41929128830756,362.308724579019,610.854982737323,16.0751311246663
"West Ambrym",385.450635837244,106.097952774491,41.3288536970401,228.233968177684,20.9728511298412,42.5625508223248,311.508524134406,6.78533418906628
"South East Ambrym",605.948867341972,115.208979453071,375.629276758451,111.608698845163,96.0074828775593,18.0014030395423,396.030866869932,7.20056121581694
"Paama",792.520433895933,493.667471460551,48.2097140098196,221.76468444517,3.85677712078556,401.104820561699,364.465437914236,11.5703313623567
"Shefa",24030.8306358174,8069.7413493108,13512.7379998816,1184.17593030656,11298.1497256116,4699.82522810458,2292.24657094649,4143.87734165465
"Port Vila",8958.28660829032,677.148531371742,7823.48392495566,38.291137190664,7115.09788692837,435.309770167548,203.54762401353,1062.07522628842
"Vermali",620.505261352837,290.676460863184,177.965180120317,148.304316766931,26.1015597509798,379.659050923342,121.016322481815,26.1015597509798
"Vermaul",467.791975723459,162.269303231986,219.317105149481,84.9378384104926,10.1418314519991,105.221501314491,264.955346683477,11.409560383499
"Varisu",610.02408994337,265.740107850867,234.322558154213,6.54532285346963,1.30906457069393,503.989859717162,26.1812914138785,11.7815811362453
"South Epi",470.290296930793,275.59285621892,154.935287327054,32.9066096977814,2.74221747481512,379.797120261894,43.8754795970419,2.74221747481512
"North Tongoa",327.891570980372,237.097653801073,50.020602067737,35.0144214474159,4.00164816541896,148.060982120501,146.060158037792,4.00164816541896
"Tongariki",237.737908455605,180.818854928409,12.8323058336291,38.4969175008871,0,88.6595675778007,118.990472275469,5.8328662880132
"Makimae",232.625876024746,187.725954707832,2.93321804230987,41.0650525923382,1.95547869487325,65.5085362782539,112.440024955212,45.9537493295214
"Nguna",468.181911066327,370.337152124376,30.5107312829742,61.0214625659483,8.41675345737218,76.8028752985211,188.324858608702,192.533235337388
"Emau",197.239389926415,154.504188775692,0,42.7352011507233,20.8197133811216,136.971798560011,13.149292661761,26.298585323522
"Malorua",1023.64421567205,481.954504726228,370.629802226086,38.0133130488293,279.66937457353,168.344672073387,77.3842444208311,376.060275518775
"North Efate",872.350722672883,696.94837438773,100.280341638522,57.6611964421503,216.856238793304,152.927520998747,33.8446153030013,442.48700747998
"Mele",887.60272195239,668.903716099526,174.368126288094,15.7620905119181,424.591313164795,27.5836583958567,10.8364372269437,373.364519001061
"Tanvasoko",1904.00050406432,260.829666111169,1340.31144767398,253.109145702232,969.010840647946,248.374600971578,117.573124107475,318.720069364788
"Ifira",245.525974562536,22.424308369146,220.879437436088,0,191.727836556198,7.84850792920107,21.3030929506886,21.3030929506886
"Pango",486.365911492837,111.000366111705,350.840442888782,7.92859757940751,281.465214068967,0.991074697425938,14.8661204613891,159.563026285577
"Erakor",3298.47690356345,1300.2528408245,1744.92805478612,68.9528021649355,1234.11443874793,807.732825360673,512.220816082378,575.544818070584
"Eratap",1825.63717105486,1228.41838753838,286.550352211218,178.942835980001,431.639138140948,530.783141859598,174.106543115677,249.069082512704
"Eton",896.651622087837,497.098121268336,217.629081799296,34.4876687004348,78.4891770423689,435.258163598591,91.5707065494305,239.035220992669
"Tafea",10905.5906037098,2323.61771956576,6736.47523874807,319.137136374346,367.451310598327,6409.4857350281,2850.9527989246,65.4433447150727
"North Erromango",374.158737182642,156.945779019564,202.146163377199,0,12.5556623215652,91.6563349474257,86.6340700187996,7.5333973929391
"South Erromango",151.382492979637,77.6658007460748,42.1238241334643,0,1.31636950417076,7.89821702502455,0,0
"Aniwa",140.043923990882,133.156517892969,0,1.1479010163187,0,25.2538223590114,112.494299599233,1.1479010163187
"North Tanna",1021.95989506718,232.851621660875,396.318164139975,2.35203658243308,3.52805487364963,733.835413719122,95.25748158854,14.1122194945985
"West Tanna",3601.9013798503,1033.83432558829,2224.72862384526,113.911628528927,281.327203791138,2100.46139272279,923.374564590546,29.3408740150267
"Middle Bush Tanna",1581.98340313245,578.632859175593,435.465966183695,46.5292402223673,20.2819765071858,804.120715637835,538.068906161222,5.96528720799581
"South West Tanna",1424.05385466799,27.0418737295996,1214.30890128631,96.5781204628558,14.1647910012189,919.423706806388,359.270608121824,1.28770827283808
"Whitesands",1782.97527561199,38.1475183434183,1596.04294488431,45.5309089905316,18.458476617783,1314.24353518615,425.775527316862,3.69169532355661
"South Tanna",403.851005201499,12.6599061191693,349.413408889071,7.59594367150156,11.3939155072523,137.992976698945,221.548357085463,1.26599061191693
"Futuna",87.3229637301334,0.831647273620318,84.8280219092724,0,3.32658909448127,3.32658909448127,69.8583709841067,0
"Aneityum",335.957672295088,31.8498700165863,191.099220099518,5.49135689941143,1.09827137988229,271.273030830925,18.6706134579988,1.09827137988229
"Canal Fanafo",1057.72433363789,719.578798956423,166.597044109855,110.395631639061,68.2445722859648,562.014124707945,283.014255656501,26.0935129328689
